x,y,name,confidence
603.235,0.471,stage4,0.3897
1457.950,2.250,vegetative,0.6854
639.146,3.777,stage4,0.7979
444.274,4.670,vegetative,0.7485
660.926,8.702,stage4,0.8348
2003.352,9.463,stage4,0.4374
1064.019,12.253,vegetative,0.5648
1057.476,14.422,stage4,0.4716
1848.829,19.380,stage4,0.5129
674.112,19.393,vegetative,0.7969
1675.714,26.523,vegetative,0.8597
2011.704,26.653,vegetative,0.8372
47.279,27.786,vegetative,0.6779
1849.318,29.625,complete,0.3826
1034.674,30.218,vegetative,0.7497
700.437,30.385,stage4,0.9200
1386.083,31.919,vegetative,0.9347
316.119,44.939,vegetative,0.6517
755.909,52.023,stage4,0.5025
751.028,52.231,vegetative,0.7390
532.137,53.134,vegetative,0.9134
784.468,54.540,stage4,0.8302
50.307,55.434,stage4,0.8323
1854.346,56.300,vegetative,0.9115
338.724,60.532,stage4,0.7132
1945.299,62.471,stage4,0.4883
896.341,62.520,stage4,0.8003
692.995,62.599,vegetative,0.9510
1119.793,65.232,stage4,0.6346
1270.657,69.637,vegetative,0.9594
356.798,70.780,vegetative,0.6084
876.703,74.299,vegetative,0.7377
502.155,76.023,stage4,0.7997
669.160,78.179,stage4,0.6894
518.565,80.993,vegetative,0.6284
899.776,82.836,vegetative,0.5460
641.608,83.455,vegetative,0.8126
861.259,86.250,stage4,0.6253
673.948,90.990,vegetative,0.5236
2128.720,101.260,stage5,0.5016
54.880,108.061,vegetative,0.8550
1927.989,109.626,vegetative,0.9098
1934.905,109.898,complete,0.5703
1033.120,111.072,vegetative,0.8137
1927.929,111.393,stage4,0.3969
1065.833,113.125,stage4,0.5047
1582.650,118.161,vegetative,0.8271
2127.863,123.776,stage4,0.6788
1126.295,125.127,vegetative,0.9067
383.967,126.283,stage4,0.6941
1535.312,128.125,vegetative,0.6450
909.046,133.564,stage4,0.8088
365.526,134.588,vegetative,0.7116
958.576,137.956,vegetative,0.8745
2015.435,137.984,vegetative,0.7524
82.860,138.508,vegetative,0.8084
979.213,139.488,stage4,0.8720
809.090,141.408,stage4,0.6658
1584.642,147.241,complete,0.6720
1989.376,148.268,vegetative,0.9048
359.250,149.077,stage4,0.6070
808.692,149.491,vegetative,0.5690
59.940,153.333,stage4,0.8899
487.545,153.809,vegetative,0.8434
362.000,156.000,vegetative,0.5102
1773.268,156.481,complete,0.7928
1250.534,160.123,vegetative,0.9583
1022.476,160.768,stage4,0.8398
1344.242,160.976,vegetative,0.9604
335.286,162.333,vegetative,0.4431
934.977,163.437,stage4,0.7115
1749.972,168.639,complete,0.5517
673.919,169.753,stage4,0.7316
1213.417,171.542,vegetative,0.9630
1103.636,172.568,vegetative,0.9021
1037.129,176.771,vegetative,0.4676
1668.006,182.759,stage5,0.9877
1746.855,183.238,vegetative,0.9514
588.996,183.653,stage4,0.9560
680.885,184.057,vegetative,0.6123
1337.109,185.432,complete,0.9187
312.173,187.442,stage5,0.8682
125.561,190.745,vegetative,0.6431
148.301,195.764,stage4,0.7588
1921.729,196.701,vegetative,0.9780
2112.204,199.785,stage4,0.5125
2093.600,200.305,vegetative,0.8527
691.611,203.641,stage4,0.7682
2120.000,205.000,vegetative,0.3240
1370.271,206.833,stage5,0.7621
2028.221,207.321,vegetative,0.9619
2116.333,210.000,complete,0.3571
729.960,210.424,vegetative,0.8615
432.163,212.701,vegetative,0.5668
1878.172,213.316,vegetative,0.9538
