x,y,name,confidence
1819.214,0.857,complete,0.5358
1027.500,1.000,vegetative,0.3267
1862.895,1.526,stage5,0.3517
735.759,1.655,vegetative,0.3129
1854.950,2.150,complete,0.3749
592.889,2.667,vegetative,0.5177
812.239,2.728,complete,0.6023
845.294,2.882,stage2,0.2968
1041.889,3.111,stage5,0.3437
287.394,3.152,stage5,0.4163
572.978,3.286,vegetative,0.4719
70.245,3.509,stage2,0.3491
621.074,3.556,vegetative,0.6431
725.476,3.810,vegetative,0.2809
64.947,4.000,stage5,0.3572
2066.333,4.333,vegetative,0.4521
1553.667,4.611,vegetative,0.5393
1125.154,4.836,vegetative,0.7098
1873.364,4.992,stage5,0.3837
1084.689,5.934,vegetative,0.6221
846.091,6.273,stage5,0.2847
1016.838,6.456,stage5,0.7375
1154.886,7.070,complete,0.8714
862.926,7.352,vegetative,0.3842
351.652,7.486,vegetative,0.7495
1862.419,7.581,complete,0.4195
1448.460,7.902,stage5,0.5834
949.299,8.299,complete,0.6465
1981.682,8.432,vegetative,0.8231
1876.300,9.500,vegetative,0.2957
1855.122,9.585,stage5,0.3821
1824.909,9.727,vegetative,0.3831
1830.832,9.728,complete,0.4940
2060.143,10.048,stage4,0.3810
763.201,10.096,vegetative,0.9014
682.349,12.268,vegetative,0.4439
718.803,12.524,vegetative,0.8160
2070.622,12.811,stage4,0.3857
301.831,13.801,stage4,0.5620
879.642,14.120,vegetative,0.7553
2085.771,14.447,vegetative,0.7216
592.500,15.368,stage4,0.4310
1823.500,15.688,complete,0.4092
88.254,17.975,vegetative,0.8578
613.975,18.254,vegetative,0.5711
872.000,21.067,stage4,0.3792
181.582,22.166,vegetative,0.9450
740.333,24.535,stage4,0.4224
1267.702,25.393,vegetative,0.8802
1610.641,28.138,vegetative,0.7153
1735.444,30.889,vegetative,0.4596
667.868,31.226,vegetative,0.4036
1530.261,35.043,complete,0.3308
1970.241,36.291,stage5,0.9679
1345.091,38.725,vegetative,0.9142
741.132,39.395,vegetative,0.4349
1876.097,39.651,vegetative,0.8732
446.952,42.010,vegetative,0.8978
634.273,42.336,vegetative,0.8344
670.667,43.652,stage4,0.3717
1694.948,45.622,vegetative,0.8595
232.653,47.468,complete,0.6608
98.000,48.500,vegetative,0.5109
248.863,48.880,vegetative,0.5566
2010.761,52.155,vegetative,0.8869
1547.956,52.752,vegetative,0.6883
986.371,52.896,vegetative,0.8926
629.125,53.000,vegetative,0.5768
8.656,56.384,stage4,0.5754
634.763,58.947,vegetative,0.6062
1828.230,59.541,vegetative,0.9170
1929.878,61.237,vegetative,0.8574
1145.125,61.550,stage4,0.3857
1378.295,61.719,vegetative,0.7966
555.761,65.233,vegetative,0.9587
1175.043,66.737,vegetative,0.7176
1627.000,68.292,vegetative,0.4621
1631.024,74.728,vegetative,0.7493
1627.900,75.550,complete,0.4205
1034.111,75.874,vegetative,0.8572
189.344,75.961,vegetative,0.9001
931.650,77.450,vegetative,0.5798
809.798,78.785,vegetative,0.9243
1589.881,80.329,vegetative,0.9746
0.000,83.500,stage4,0.3048
1.000,84.000,complete,0.2780
1200.373,84.614,vegetative,0.8266
1394.601,86.821,vegetative,0.8977
1109.654,87.972,vegetative,0.9309
1656.887,89.280,vegetative,0.8694
368.629,89.509,vegetative,0.9625
1511.584,90.425,vegetative,0.7820
1695.061,92.018,vegetative,0.8114
636.980,93.051,vegetative,0.7453
1413.764,100.727,complete,0.5067
1284.845,111.894,vegetative,0.8197
451.861,112.117,vegetative,0.9385
2130.414,114.046,stage5,0.6606
1104.012,117.699,stage5,0.5330
2072.055,119.499,vegetative,0.8720
1448.556,120.778,complete,0.4151
1439.529,121.529,complete,0.5926
1429.214,122.214,vegetative,0.6056
951.462,123.731,complete,0.5045
1805.680,124.346,stage5,0.9885
1088.850,128.461,complete,0.6544
1520.652,128.781,vegetative,0.9771
955.643,129.341,stage5,0.6187
17.276,129.683,vegetative,0.8501
1118.796,138.793,vegetative,0.8964
1185.485,140.212,vegetative,0.5740
705.059,144.404,vegetative,0.9251
1978.906,145.057,vegetative,0.6990
1769.239,145.451,vegetative,0.9549
945.839,145.808,complete,0.6048
1178.000,150.000,vegetative,0.3937
523.180,150.530,vegetative,0.9739
76.808,157.314,vegetative,0.9739
1676.812,162.471,vegetative,0.9019
1345.185,168.595,vegetative,0.8210
13.920,169.720,stage4,0.4076
1878.264,170.313,vegetative,0.8952
1120.398,181.938,vegetative,0.8836
359.499,182.431,vegetative,0.8816
195.586,185.320,vegetative,0.8741
1321.698,186.289,vegetative,0.9136
490.667,188.867,stage4,0.4037
5.833,190.833,vegetative,0.5358
1136.000,195.516,complete,0.4243
1788.141,200.030,vegetative,0.9370
1126.531,202.429,complete,0.4245
1229.308,202.846,vegetative,0.4381
1210.480,206.320,vegetative,0.4143
1237.293,206.512,complete,0.4986
1497.646,207.745,vegetative,0.9690
1204.817,208.005,complete,0.6276
492.817,208.307,complete,0.5947
1278.512,211.010,vegetative,0.6013
510.807,211.219,vegetative,0.9579
742.977,213.016,vegetative,0.9370
307.214,214.044,vegetative,0.8986
419.647,220.048,vegetative,0.9049
217.270,221.118,stage5,0.9851
72.266,222.222,vegetative,0.9078
880.250,222.917,vegetative,0.5643
2074.511,224.502,vegetative,0.7730
2026.369,224.702,vegetative,0.9294
1223.093,226.467,vegetative,0.9091
788.370,227.265,vegetative,0.8914
1304.037,227.304,vegetative,0.6727
479.439,230.856,vegetative,0.4525
860.643,231.875,vegetative,0.5847
472.406,232.647,complete,0.5014
673.869,235.116,vegetative,0.7804
1944.267,238.982,vegetative,0.9446
1423.042,258.980,vegetative,0.8165
1300.025,260.500,vegetative,0.5847
1313.000,264.000,vegetative,0.5421
2042.244,266.290,vegetative,0.8593
565.467,267.398,vegetative,0.9222
1622.098,270.366,vegetative,0.6375
1517.967,270.924,vegetative,0.8104
1158.669,273.459,vegetative,0.8479
1731.666,274.791,vegetative,0.9745
1008.554,277.143,vegetative,0.8831
1985.400,277.475,vegetative,0.7315
1209.667,280.429,vegetative,0.6010
1111.310,283.905,vegetative,0.9653
1777.960,284.240,vegetative,0.9601
1069.727,288.909,vegetative,0.5625
0.571,290.500,vegetative,0.3497
1429.007,290.739,vegetative,0.8749
1239.231,292.535,vegetative,0.9447
24.665,295.746,vegetative,0.5172
238.390,298.064,vegetative,0.7218
1952.353,304.706,vegetative,0.5936
899.322,305.357,vegetative,0.8872
495.769,306.231,stage4,0.3257
1312.335,307.206,vegetative,0.9397
2007.332,311.949,vegetative,0.8239
1635.605,313.816,vegetative,0.6718
673.069,315.279,vegetative,0.9225
1053.464,315.647,vegetative,0.9002
34.864,316.695,stage4,0.5184
1977.566,317.132,vegetative,0.7624
1546.122,324.562,vegetative,0.9273
974.540,325.450,stage4,0.4020
176.197,326.098,vegetative,0.3826
957.307,328.602,stage5,0.5392
1971.250,329.000,vegetative,0.5616
1966.000,330.000,vegetative,0.6371
178.843,332.529,stage4,0.4192
1553.943,332.552,complete,0.5694
2018.024,333.837,complete,0.6168
1845.333,335.444,stage4,0.3096
2043.304,335.875,vegetative,0.9147
351.296,335.937,vegetative,0.8747
768.531,336.748,vegetative,0.8335
1812.480,337.449,vegetative,0.6883
1443.010,346.555,vegetative,0.8213
161.618,347.169,vegetative,0.6921
39.812,348.438,vegetative,0.3948
32.111,353.944,vegetative,0.4347
2109.916,357.169,vegetative,0.8722
440.629,357.265,vegetative,0.8016
1138.693,359.290,vegetative,0.9409
1191.518,362.073,vegetative,0.9274
1293.059,364.714,vegetative,0.7443
1615.699,365.685,vegetative,0.9829
1169.233,367.788,complete,0.8711
259.351,367.948,stage4,0.5217
247.289,371.511,vegetative,0.4428
1674.732,372.474,vegetative,0.8207
1397.153,376.155,vegetative,0.9188
1849.350,386.858,vegetative,0.8886
389.214,390.543,vegetative,0.9616
2104.667,391.590,vegetative,0.8996
407.464,394.875,complete,0.4766
448.778,395.378,vegetative,0.9027
1920.816,399.667,stage5,0.4396
1483.446,401.373,vegetative,0.8733
71.739,403.082,vegetative,0.9453
2042.354,405.073,vegetative,0.9647
512.334,405.964,vegetative,0.8556
1616.904,407.581,vegetative,0.9740
538.172,407.729,vegetative,0.9492
605.631,409.948,vegetative,0.8631
1900.000,416.047,vegetative,0.3329
496.529,418.529,complete,0.4936
1363.580,423.687,vegetative,0.8744
672.151,425.322,vegetative,0.8068
492.500,427.000,vegetative,0.4078
498.069,427.517,vegetative,0.4887
1904.879,427.944,vegetative,0.3455
1096.211,429.242,vegetative,0.8418
985.163,431.351,vegetative,0.9430
834.741,431.676,vegetative,0.9121
655.250,432.000,stage4,0.3244
1206.332,432.601,vegetative,0.9208
491.868,434.711,complete,0.4732
1889.270,435.603,stage5,0.3606
670.025,436.137,stage4,0.5665
1581.947,440.445,vegetative,0.9352
1852.000,441.444,vegetative,0.7364
892.036,448.746,vegetative,0.9460
671.484,456.742,vegetative,0.3587
1067.150,456.805,vegetative,0.7257
1794.123,457.738,vegetative,0.9527
659.079,463.342,stage4,0.4197
48.629,465.417,vegetative,0.9193
1320.341,465.976,vegetative,0.7043
343.571,466.857,vegetative,0.5975
649.083,467.000,stage4,0.4103
640.292,467.800,stage4,0.4015
352.500,468.429,complete,0.3083
860.703,468.552,vegetative,0.6792
1824.414,476.138,vegetative,0.7324
173.280,476.865,vegetative,0.9496
1092.689,478.410,vegetative,0.8832
664.718,479.161,stage4,0.5554
902.381,482.077,complete,0.7226
130.927,482.327,vegetative,0.9765
351.000,491.917,complete,0.3856
865.571,495.761,vegetative,0.8887
320.510,498.245,vegetative,0.7917
