x,y,name,confidence
637.392,1.725,vegetative,0.8254
1080.500,1.857,stage4,0.5824
728.176,2.441,vegetative,0.5163
749.875,3.958,vegetative,0.3946
1801.085,6.938,vegetative,0.9304
1714.679,7.736,stage4,0.5005
1534.020,11.093,stage4,0.9297
1700.550,15.257,vegetative,0.6600
752.858,15.764,stage4,0.7391
311.221,18.165,vegetative,0.8177
1727.436,19.303,vegetative,0.8285
860.988,19.692,vegetative,0.8520
73.868,22.821,vegetative,0.6118
1397.741,24.387,vegetative,0.9401
1868.380,27.116,vegetative,0.9621
769.827,27.481,vegetative,0.4290
1705.153,30.024,vegetative,0.5164
1695.446,32.023,stage4,0.5293
550.286,32.963,stage4,0.9163
972.948,33.773,stage4,0.6615
407.653,33.857,stage4,0.4405
428.547,36.085,vegetative,0.6140
1783.631,41.675,vegetative,0.7835
1951.475,42.413,vegetative,0.8620
329.944,43.834,stage4,0.9528
298.751,44.392,stage4,0.5370
1160.438,45.375,vegetative,0.5698
1666.209,46.889,vegetative,0.6690
1311.425,49.235,vegetative,0.8889
849.152,49.606,stage4,0.5189
491.442,51.770,vegetative,0.6964
903.922,54.182,stage4,0.8610
1171.404,54.763,vegetative,0.5558
930.811,56.660,vegetative,0.8247
1287.338,56.974,stage4,0.6531
1271.171,66.543,stage4,0.6674
2123.469,70.766,vegetative,0.6544
8.734,75.219,vegetative,0.7552
1280.349,77.368,vegetative,0.7178
1249.310,77.517,stage4,0.4701
834.314,77.686,vegetative,0.7150
1254.635,80.469,vegetative,0.5565
1241.111,88.889,stage4,0.4554
2116.917,89.167,stage4,0.3957
841.909,90.364,stage4,0.4132
1867.464,93.060,vegetative,0.8855
1137.530,93.276,stage4,0.9124
1760.279,94.631,stage4,0.8322
931.030,101.713,stage4,0.7760
1257.780,103.068,stage4,0.6730
345.451,107.214,stage4,0.8125
2130.767,110.300,stage4,0.4978
741.002,113.847,stage4,0.8367
1757.737,116.368,vegetative,0.5076
839.422,116.371,vegetative,0.7392
1329.584,117.726,vegetative,0.7047
107.436,118.431,vegetative,0.5646
353.362,121.510,stage4,0.6691
906.857,121.643,vegetative,0.4718
1433.461,121.886,vegetative,0.8226
1246.941,123.024,vegetative,0.4447
82.000,132.500,vegetative,0.3903
1413.192,133.169,stage4,0.6181
1248.860,133.404,stage4,0.6024
1395.895,134.158,stage4,0.5486
1296.567,134.210,vegetative,0.8790
865.126,136.786,stage4,0.7547
74.702,143.021,vegetative,0.5724
525.231,146.177,stage4,0.8679
508.032,146.578,vegetative,0.8593
231.028,147.713,vegetative,0.9160
519.743,149.657,stage4,0.5556
527.528,150.285,vegetative,0.5634
301.010,154.097,vegetative,0.8213
1724.651,162.485,vegetative,0.5795
1319.451,163.721,stage4,0.9229
1222.765,166.098,vegetative,0.8608
442.525,167.759,vegetative,0.5343
1020.884,168.899,stage4,0.9430
1906.739,172.994,vegetative,0.6516
1927.111,176.000,stage4,0.4781
