x,y,name,confidence
515.125,0.875,vegetative,0.4042
1390.792,0.917,vegetative,0.5471
1979.750,1.036,stage4,0.2484
1345.429,1.190,vegetative,0.3714
1995.500,1.214,stage4,0.2810
1809.100,2.000,stage2,0.3473
1213.125,2.062,vegetative,0.3395
1314.088,2.824,stage5,0.3368
2044.691,2.904,stage4,0.5564
2008.833,3.167,stage2,0.3365
882.187,3.197,stage4,0.8456
1206.889,3.333,stage4,0.4334
535.576,4.273,vegetative,0.5854
1072.968,4.645,vegetative,0.6042
980.677,6.045,stage4,0.7460
1798.699,6.104,vegetative,0.5241
2034.000,6.750,stage4,0.4324
1307.835,9.560,stage4,0.4373
412.415,9.959,stage4,0.6347
103.457,10.336,stage4,0.7609
1786.400,11.250,stage4,0.4228
459.302,12.834,stage4,0.6377
2031.207,13.402,stage4,0.5414
1691.485,13.502,stage4,0.8133
1451.856,13.812,stage4,0.5425
519.792,14.230,stage4,0.6597
1441.632,15.737,vegetative,0.3991
1795.444,16.000,stage4,0.4373
657.915,16.652,stage4,0.9029
1529.724,17.208,stage4,0.6149
1449.960,22.280,vegetative,0.4460
1503.168,22.712,vegetative,0.7666
1763.552,23.345,stage4,0.3784
430.208,23.958,vegetative,0.5856
504.960,24.229,vegetative,0.8716
295.474,26.705,vegetative,0.6993
1432.125,26.875,vegetative,0.4117
1117.860,27.044,vegetative,0.7635
756.794,29.561,vegetative,0.9005
1555.123,29.575,vegetative,0.7755
1542.609,30.301,stage4,0.5080
1771.500,30.500,stage4,0.3356
860.277,31.979,stage4,0.9437
411.180,34.286,vegetative,0.7510
1182.874,37.899,vegetative,0.8673
2090.940,38.190,vegetative,0.7508
1260.607,38.486,vegetative,0.8550
42.099,39.255,vegetative,0.8819
1011.321,41.466,stage4,0.8469
110.544,42.479,stage4,0.8979
119.438,46.750,vegetative,0.4349
900.014,50.106,stage4,0.5977
24.579,50.575,stage4,0.8215
1251.757,50.957,stage4,0.4774
116.667,52.194,stage4,0.4736
1957.450,53.745,vegetative,0.8195
1132.055,54.090,vegetative,0.8874
1812.325,55.224,vegetative,0.8949
954.246,57.291,stage4,0.9082
295.039,58.176,vegetative,0.6693
359.080,60.763,stage4,0.7461
1386.997,62.093,vegetative,0.8047
108.921,62.970,vegetative,0.5355
1121.589,63.164,stage4,0.4858
1649.444,63.448,vegetative,0.9502
977.563,66.854,stage4,0.5833
578.284,70.326,vegetative,0.8557
1336.889,74.056,stage4,0.3659
1326.750,74.625,stage4,0.3568
1137.492,75.296,vegetative,0.6761
833.889,75.369,vegetative,0.8464
910.993,75.785,vegetative,0.8360
1171.186,76.102,stage4,0.6777
1347.043,82.591,stage4,0.4949
1063.761,87.261,vegetative,0.4622
1222.195,87.830,vegetative,0.7591
1203.647,89.992,stage4,0.4704
955.492,90.444,vegetative,0.6967
2049.812,91.875,vegetative,0.4912
108.822,95.224,vegetative,0.7228
1320.083,95.493,vegetative,0.8188
1064.828,95.688,vegetative,0.4993
612.335,97.738,stage4,0.8898
1047.671,98.065,stage4,0.5785
2082.300,101.000,stage4,0.3912
2019.657,102.902,vegetative,0.7707
1082.438,103.056,stage4,0.6568
173.759,106.552,stage4,0.6124
796.396,107.274,stage4,0.8884
978.364,108.555,vegetative,0.7753
1219.765,109.353,stage4,0.4584
2095.661,110.369,vegetative,0.6049
652.376,112.419,vegetative,0.5200
933.340,112.461,stage4,0.6929
845.355,112.680,stage4,0.7823
439.697,113.230,vegetative,0.8289
2122.663,113.978,stage4,0.3539
2044.230,115.393,vegetative,0.8850
573.606,118.666,vegetative,0.9101
2064.285,120.715,vegetative,0.5611
164.314,122.872,stage4,0.6188
1106.149,123.547,vegetative,0.7554
1248.839,124.823,vegetative,0.9454
1721.454,126.792,vegetative,0.8280
202.557,126.826,vegetative,0.8393
277.093,126.880,stage4,0.4455
2086.725,129.650,vegetative,0.5803
934.308,131.538,stage4,0.4651
1861.400,132.267,stage2,0.3940
1866.118,132.412,stage4,0.3539
1516.250,133.750,stage4,0.3632
1868.414,133.896,vegetative,0.9057
566.750,133.900,stage4,0.4724
324.643,134.590,vegetative,0.8737
724.976,135.074,vegetative,0.8302
1184.569,136.388,stage4,0.5934
1532.216,137.737,vegetative,0.8718
232.478,138.556,stage4,0.6629
925.588,138.607,vegetative,0.6173
2075.900,139.550,stage4,0.3939
603.083,140.417,stage4,0.4798
185.107,141.113,stage5,0.6056
277.080,142.845,vegetative,0.4775
973.775,143.364,stage4,0.7407
114.823,144.244,vegetative,0.9114
150.448,146.336,vegetative,0.9363
180.174,146.543,stage4,0.5568
549.887,146.879,vegetative,0.6772
1847.361,150.429,stage5,0.8143
1489.138,151.114,stage4,0.4748
411.901,151.825,stage4,0.9423
1171.844,152.881,vegetative,0.6145
641.539,153.855,vegetative,0.8898
620.151,157.027,stage4,0.6781
1245.007,157.046,stage4,0.5733
1814.288,158.857,vegetative,0.7002
1419.687,162.808,vegetative,0.9384
1117.465,169.556,stage4,0.4980
1326.020,173.408,vegetative,0.5947
1924.250,176.733,vegetative,0.5724
646.761,176.935,complete,0.4113
2039.996,177.196,vegetative,0.9500
1190.211,178.121,vegetative,0.7879
389.852,179.160,vegetative,0.9134
1990.389,182.342,vegetative,0.8310
643.379,183.484,stage4,0.5255
1116.364,184.152,vegetative,0.5375
1627.667,184.306,stage4,0.4188
1124.785,192.415,stage4,0.4767
1611.025,196.096,complete,0.8611
2094.571,196.810,stage4,0.4831
242.975,197.137,stage4,0.4258
1108.695,199.390,vegetative,0.5327
1923.259,201.481,vegetative,0.6057
2113.731,201.885,vegetative,0.4413
870.500,204.600,vegetative,0.4441
1148.398,205.245,stage4,0.5988
1215.379,206.172,complete,0.4002
1209.187,206.337,stage4,0.4044
237.598,209.098,vegetative,0.4576
1400.206,209.861,vegetative,0.8797
656.047,211.920,stage4,0.6602
815.702,213.050,vegetative,0.6890
878.222,214.444,vegetative,0.6180
870.676,216.568,stage4,0.5159
574.296,217.388,vegetative,0.9132
371.800,217.500,vegetative,0.4833
865.071,218.714,vegetative,0.4242
953.347,218.734,stage4,0.9393
727.169,219.325,stage4,0.6991
678.013,220.162,vegetative,0.6166
503.343,220.388,vegetative,0.5354
529.000,221.284,vegetative,0.8038
1795.946,221.757,stage4,0.3406
1290.898,225.155,vegetative,0.8156
494.740,226.536,stage4,0.7652
869.510,226.843,vegetative,0.4543
368.629,229.028,stage4,0.7066
1733.579,229.273,vegetative,0.8642
518.071,230.714,vegetative,0.4812
140.956,231.200,stage4,0.4746
60.692,232.911,stage4,0.8823
847.834,232.989,stage4,0.8189
