x,y,name,confidence
318.000,0.500,vegetative,0.3030
1382.000,0.500,stage5,0.3885
1346.914,0.829,stage5,0.5817
238.233,0.837,stage4,0.5120
462.812,1.000,vegetative,0.3335
191.913,2.261,vegetative,0.3822
452.046,4.241,vegetative,0.5192
2117.500,5.500,vegetative,0.5992
566.084,7.088,stage4,0.7834
1873.176,9.235,stage5,0.4821
190.292,10.242,stage4,0.8334
753.956,10.789,vegetative,0.5526
660.232,11.888,stage4,0.9133
2.579,12.421,vegetative,0.3810
2076.447,13.609,vegetative,0.9115
1129.955,14.081,vegetative,0.8716
455.333,15.133,vegetative,0.4672
751.250,15.625,stage4,0.4644
431.914,16.752,stage4,0.7956
203.543,18.224,vegetative,0.6388
1849.017,20.971,vegetative,0.6845
70.866,21.058,stage4,0.7076
1860.562,21.326,complete,0.5148
759.196,23.426,stage4,0.6239
461.167,26.250,vegetative,0.4825
31.826,29.876,stage4,0.7776
1335.458,33.763,vegetative,0.9666
1896.086,36.029,stage5,0.4180
759.297,36.375,vegetative,0.5387
1006.241,36.534,stage4,0.8027
57.050,39.970,vegetative,0.5954
185.561,40.343,vegetative,0.9336
1841.867,41.828,complete,0.6901
359.053,45.263,stage4,0.5214
765.138,45.982,stage4,0.7637
1933.968,48.325,vegetative,0.8602
1595.199,49.251,vegetative,0.8034
635.846,49.906,stage4,0.8427
750.465,51.721,vegetative,0.5049
371.844,54.063,vegetative,0.8646
744.417,62.417,stage4,0.4303
777.055,63.022,vegetative,0.8393
1700.636,64.942,vegetative,0.8069
733.025,69.400,stage4,0.4714
658.952,69.530,vegetative,0.9163
1112.105,69.727,vegetative,0.8386
1490.612,70.663,vegetative,0.9455
737.382,72.661,vegetative,0.4995
749.081,76.131,stage4,0.5355
1054.000,76.214,stage4,0.4542
891.628,77.257,stage4,0.7872
499.628,77.407,stage4,0.8460
106.816,80.060,vegetative,0.9682
2125.295,83.205,stage5,0.4745
1268.588,89.505,complete,0.9335
797.376,90.168,stage4,0.9394
481.609,91.842,vegetative,0.8999
346.188,94.914,vegetative,0.7015
1039.437,96.919,vegetative,0.9039
649.406,98.188,stage4,0.5068
213.143,98.310,vegetative,0.6979
1861.851,101.792,vegetative,0.8657
1367.697,107.267,vegetative,0.9677
1300.078,110.255,complete,0.4849
364.517,110.449,stage4,0.7437
514.436,112.184,vegetative,0.6215
706.025,115.376,vegetative,0.9623
57.439,122.707,vegetative,0.6364
690.400,124.440,vegetative,0.5089
667.199,128.970,vegetative,0.8242
2023.027,129.548,vegetative,0.9549
152.210,132.726,stage4,0.5284
161.890,133.314,vegetative,0.6702
58.222,134.778,vegetative,0.4905
484.675,137.196,vegetative,0.8556
2106.480,137.490,vegetative,0.8921
395.399,137.531,vegetative,0.9047
74.558,138.710,stage4,0.9294
864.263,141.632,vegetative,0.4725
1945.365,141.645,vegetative,0.7513
870.673,144.469,stage4,0.5596
757.770,147.626,stage4,0.9022
1097.071,149.133,vegetative,0.8146
867.504,155.372,vegetative,0.5939
1865.481,159.088,vegetative,0.9746
699.837,159.512,vegetative,0.4868
723.767,160.333,vegetative,0.4957
1277.616,161.581,vegetative,0.8907
491.277,163.904,vegetative,0.4750
709.322,163.959,stage4,0.7849
763.565,167.989,vegetative,0.8645
894.011,170.154,stage4,0.8619
1054.569,173.592,stage4,0.7889
193.507,173.601,stage4,0.8845
617.911,174.727,vegetative,0.8867
919.227,177.227,vegetative,0.4827
674.128,179.205,stage4,0.4983
1920.381,181.834,vegetative,0.9728
1503.975,183.268,vegetative,0.9290
361.880,184.231,vegetative,0.6627
887.875,184.818,vegetative,0.5392
159.386,191.373,vegetative,0.9044
492.285,191.559,stage4,0.8166
518.826,192.673,vegetative,0.7304
1314.498,196.372,complete,0.6144
548.723,198.684,stage4,0.7858
367.519,201.895,stage4,0.5770
1013.271,203.143,stage4,0.7763
1724.361,205.584,vegetative,0.9466
367.900,208.600,vegetative,0.5387
864.737,209.745,vegetative,0.9354
37.238,212.018,stage4,0.5333
1319.938,212.486,stage5,0.5244
378.865,217.162,vegetative,0.4468
630.916,218.036,stage4,0.8689
1488.226,218.404,complete,0.5837
1638.072,219.775,stage5,0.9283
615.739,220.624,vegetative,0.6810
2043.197,221.726,vegetative,0.8363
1515.552,222.136,complete,0.4193
778.930,223.160,vegetative,0.7491
18.745,231.519,vegetative,0.6452
251.689,237.844,vegetative,0.4749
80.752,238.245,stage4,0.5667
365.113,238.650,vegetative,0.8612
124.716,243.243,vegetative,0.8998
80.183,252.406,vegetative,0.6978
956.424,253.514,vegetative,0.9290
766.841,253.914,stage4,0.8115
1922.559,259.065,vegetative,0.9740
2.696,261.217,vegetative,0.6548
154.846,265.533,stage4,0.9083
1168.916,267.135,vegetative,0.9566
1027.690,267.759,vegetative,0.4942
1029.745,274.576,stage4,0.5664
522.526,275.221,vegetative,0.7705
1993.222,275.441,vegetative,0.9392
353.145,278.822,vegetative,0.6641
1634.200,280.469,vegetative,0.9119
2131.309,280.673,stage5,0.4976
1061.285,281.204,vegetative,0.6823
307.815,284.956,vegetative,0.6395
540.851,285.000,stage4,0.4593
1027.955,286.682,vegetative,0.4953
2099.335,286.871,vegetative,0.9659
363.849,290.836,vegetative,0.5196
552.204,292.398,vegetative,0.6609
544.250,292.500,stage4,0.4520
1583.182,293.143,vegetative,0.9571
1050.657,295.057,vegetative,0.4978
1039.444,295.556,vegetative,0.4632
406.745,303.361,vegetative,0.8349
18.595,303.797,stage4,0.7609
904.355,307.334,stage4,0.8513
1303.380,308.166,vegetative,0.9290
393.266,308.348,stage4,0.7933
1791.549,309.888,vegetative,0.9248
1389.202,312.107,vegetative,0.9366
26.833,314.667,vegetative,0.4444
258.474,314.949,vegetative,0.7534
436.595,315.167,vegetative,0.4742
270.385,315.846,stage4,0.4005
1238.605,315.976,vegetative,0.9199
985.451,321.455,stage4,0.5056
568.793,322.966,stage4,0.4984
580.488,333.475,vegetative,0.7872
186.813,334.982,vegetative,0.8789
1489.254,338.928,vegetative,0.8728
862.083,339.167,vegetative,0.5792
1511.457,339.928,complete,0.4349
964.499,340.086,vegetative,0.7720
979.403,345.422,complete,0.5838
1000.196,345.670,stage4,0.4724
891.581,350.935,vegetative,0.5000
805.533,352.467,vegetative,0.4618
926.583,353.900,stage4,0.5707
1675.038,354.819,vegetative,0.9616
818.082,360.521,stage4,0.7606
725.528,365.657,vegetative,0.8339
1005.781,369.226,stage4,0.5251
557.493,370.556,stage4,0.8983
605.519,373.379,vegetative,0.5149
758.130,374.250,vegetative,0.5533
1.370,376.259,vegetative,0.6175
299.519,376.755,vegetative,0.9642
783.107,381.487,vegetative,0.8452
1866.632,382.561,vegetative,0.4384
1772.652,385.687,complete,0.9223
1443.603,385.910,vegetative,0.9341
2104.262,388.221,vegetative,0.9693
1567.487,389.885,vegetative,0.9164
1869.373,390.230,complete,0.5217
671.779,393.045,stage4,0.7977
943.690,395.661,stage4,0.5454
1878.333,408.833,complete,0.4718
1686.839,410.693,vegetative,0.9632
1865.554,415.490,vegetative,0.9390
652.771,417.306,vegetative,0.7003
1600.636,419.591,complete,0.5304
70.524,419.714,stage4,0.4871
54.733,421.353,vegetative,0.6520
1314.928,424.495,complete,0.6445
103.905,425.378,stage4,0.8451
312.973,425.990,stage4,0.8982
1348.798,433.517,vegetative,0.8945
268.505,434.291,stage4,0.6716
1226.746,434.402,vegetative,0.9702
618.400,437.700,vegetative,0.6010
446.092,438.708,stage4,0.5744
253.494,439.259,vegetative,0.5129
1484.953,441.062,vegetative,0.9815
627.016,446.175,stage4,0.8867
863.752,447.838,stage4,0.6675
837.870,448.413,vegetative,0.8173
196.879,449.855,vegetative,0.6848
431.954,450.996,vegetative,0.7334
112.874,452.538,vegetative,0.8008
850.137,455.514,vegetative,0.6927
221.608,457.905,stage4,0.6044
493.254,461.093,stage4,0.8838
237.941,468.525,vegetative,0.4431
858.444,470.722,vegetative,0.4821
492.495,471.862,vegetative,0.8147
262.099,472.087,stage4,0.6716
436.536,472.711,vegetative,0.6244
1557.856,478.758,vegetative,0.9379
186.097,479.703,vegetative,0.9520
959.914,483.262,stage4,0.7278
2009.487,485.198,vegetative,0.9681
925.469,487.759,vegetative,0.5569
960.909,488.296,vegetative,0.6216
943.644,497.494,vegetative,0.6788
