x,y,name,confidence
1191.583,1.417,stage4,0.3611
1718.481,2.416,stage4,0.7048
864.242,2.848,vegetative,0.5928
1990.913,4.152,vegetative,0.6052
492.754,4.199,stage4,0.8011
1179.621,6.626,vegetative,0.8801
1319.909,8.106,stage4,0.9508
1465.170,9.180,stage4,0.9141
218.864,10.310,stage4,0.8866
1967.190,13.804,stage4,0.5931
379.652,13.860,stage4,0.9518
1392.085,17.317,stage4,0.6839
1707.496,17.473,stage4,0.9247
877.044,19.879,vegetative,0.8365
697.136,26.141,vegetative,0.6671
783.599,27.483,vegetative,0.6195
2023.589,28.495,vegetative,0.9393
1697.217,29.119,vegetative,0.6635
924.188,31.578,vegetative,0.5316
1694.783,32.391,stage4,0.4229
1384.124,34.248,vegetative,0.8454
572.291,34.856,vegetative,0.9335
540.000,36.878,stage4,0.6229
1134.516,44.099,stage4,0.5741
1352.856,44.697,stage4,0.8835
1134.845,49.034,vegetative,0.5542
496.401,49.046,vegetative,0.7978
445.182,49.260,vegetative,0.8245
478.824,49.294,vegetative,0.4969
688.492,51.461,stage4,0.8471
409.542,51.742,vegetative,0.8777
470.222,52.222,vegetative,0.4876
787.907,52.302,stage4,0.8255
376.912,53.719,stage4,0.8378
1077.034,54.449,stage4,0.9138
480.319,55.423,stage4,0.6549
694.821,56.679,vegetative,0.5429
1910.757,56.901,vegetative,0.4779
505.627,59.675,stage4,0.8323
772.568,60.703,vegetative,0.5746
1899.364,63.000,stage4,0.3903
519.691,63.328,vegetative,0.9061
41.315,67.317,stage4,0.9653
259.369,68.441,stage4,0.7040
928.686,69.851,stage4,0.8319
242.529,75.110,vegetative,0.5678
1535.608,77.287,stage4,0.8688
415.115,81.170,stage4,0.4593
1622.518,83.071,stage4,0.5353
472.271,83.510,vegetative,0.7060
438.961,84.529,stage4,0.4527
775.948,85.530,vegetative,0.6665
1737.703,87.191,stage4,0.6724
1894.625,88.375,stage4,0.4890
209.773,88.529,vegetative,0.7643
1580.697,88.944,stage4,0.8404
1640.610,92.068,vegetative,0.5860
1112.886,95.373,stage4,0.5812
1868.518,99.170,vegetative,0.8422
1561.987,99.937,vegetative,0.6705
1742.516,103.842,vegetative,0.6537
1584.355,104.301,vegetative,0.5586
