x,y,name,confidence
1887.289,31.324,vegetative,0.9932
576.939,182.395,vegetative,0.9915
1553.887,237.313,complete,0.8506
1204.268,335.182,vegetative,0.9772
1313.889,336.141,stage5,0.9968
2009.064,343.157,vegetative,0.9849
265.093,361.142,complete,0.6079
264.687,372.344,vegetative,0.6419
826.879,429.939,complete,0.5192
834.681,431.710,vegetative,0.5562
841.737,437.102,complete,0.6527
523.875,441.750,vegetative,0.5060
532.316,442.828,complete,0.6685
1017.894,448.716,complete,0.9385
1260.392,472.509,stage5,0.9840
1907.039,530.433,vegetative,0.9874
1015.806,539.400,stage5,0.9804
1685.602,590.909,vegetative,0.9942
1063.537,592.854,complete,0.9736
1030.380,666.023,complete,0.9013
1856.105,716.537,vegetative,0.9641
2115.171,716.778,vegetative,0.9878
483.074,732.752,stage4,0.6921
488.977,747.169,stage5,0.7846
1564.932,747.736,vegetative,0.9494
1651.116,758.947,vegetative,0.9802
1006.138,796.931,vegetative,0.8923
40.008,813.922,vegetative,0.9673
1231.372,890.114,vegetative,0.9953
1256.452,955.444,stage5,0.6765
1303.786,1018.071,stage5,0.4095
1292.278,1019.665,complete,0.5569
1301.917,1020.806,vegetative,0.4289
443.136,1071.289,vegetative,0.9728
920.655,1086.418,vegetative,0.8777
