x,y,name,confidence
125.375,0.375,stage4,0.3113
108.923,4.615,vegetative,0.5694
484.764,6.171,complete,0.4733
194.316,8.588,vegetative,0.7548
347.250,11.700,vegetative,0.6311
1423.326,12.295,vegetative,0.7230
118.208,13.997,vegetative,0.6011
479.227,14.091,stage4,0.4086
502.639,16.792,vegetative,0.5310
483.933,16.800,complete,0.3613
1202.261,17.938,vegetative,0.7872
887.833,18.083,vegetative,0.5713
1385.066,20.287,vegetative,0.7293
295.059,20.706,stage4,0.4501
465.500,21.500,complete,0.3801
283.345,22.112,stage5,0.6049
450.456,23.877,stage4,0.4209
209.220,26.585,vegetative,0.6101
1070.667,27.000,vegetative,0.5518
1416.497,28.101,vegetative,0.7696
466.300,28.136,vegetative,0.7661
851.201,30.322,vegetative,0.8535
1095.253,31.253,vegetative,0.7172
1687.250,35.738,stage4,0.5939
193.550,37.257,stage5,0.7220
1678.995,38.884,stage5,0.5764
872.000,42.970,vegetative,0.5327
1392.864,45.133,vegetative,0.8433
1683.176,45.147,stage4,0.4698
1990.750,47.750,vegetative,0.5437
1023.111,52.778,stage4,0.5197
891.789,53.789,complete,0.4890
581.089,56.852,vegetative,0.7365
922.417,57.512,vegetative,0.7102
1979.069,58.690,vegetative,0.5927
1194.140,59.868,vegetative,0.8328
881.085,59.994,vegetative,0.8061
227.124,61.004,vegetative,0.8429
850.813,61.263,vegetative,0.8818
197.453,61.422,vegetative,0.9096
1387.016,62.805,vegetative,0.8229
158.270,63.579,vegetative,0.9018
1345.134,63.773,vegetative,0.8737
2013.505,66.891,vegetative,0.5798
598.328,70.576,vegetative,0.7664
255.097,71.472,vegetative,0.6881
50.200,71.500,complete,0.4584
802.770,74.481,stage5,0.9595
233.000,75.875,vegetative,0.5704
37.500,77.000,vegetative,0.4652
1091.639,79.711,vegetative,0.6252
18.962,81.463,vegetative,0.5683
963.702,87.851,vegetative,0.6440
581.231,87.962,vegetative,0.6553
971.412,90.196,vegetative,0.6699
10.901,90.215,vegetative,0.5418
594.725,91.638,vegetative,0.7341
809.005,95.755,vegetative,0.7849
781.342,96.158,vegetative,0.6419
878.983,103.011,vegetative,0.8457
197.000,105.500,complete,0.3478
193.333,111.444,stage4,0.3405
925.733,112.360,vegetative,0.6941
1314.208,112.784,vegetative,0.6193
1083.234,116.245,vegetative,0.7520
2087.274,116.322,vegetative,0.8768
1326.548,118.194,vegetative,0.6566
1334.875,119.188,stage4,0.5650
1099.667,121.117,vegetative,0.8115
330.013,125.064,vegetative,0.8823
1653.000,126.417,stage4,0.4930
1550.808,127.077,stage5,0.4701
1538.550,128.502,stage4,0.6087
1335.385,133.308,stage4,0.3953
390.409,134.260,stage5,0.7955
1628.667,135.556,vegetative,0.4557
1324.304,138.826,vegetative,0.4197
1330.171,144.537,vegetative,0.4483
1050.417,145.583,vegetative,0.5589
396.822,148.844,vegetative,0.6440
1057.933,149.311,vegetative,0.6793
1068.971,150.529,vegetative,0.4664
321.701,150.620,vegetative,0.6128
