x,y,name,confidence
1336.168,7.743,stage4,0.9521
524.252,25.228,stage4,0.6057
1133.302,49.947,stage4,0.8880
663.667,58.254,stage4,0.6003
1994.641,81.471,stage4,0.9878
1229.761,86.082,stage4,0.9893
437.175,90.502,stage4,0.7380
923.281,118.409,vegetative,0.9805
2.138,125.754,stage4,0.5733
1940.509,168.468,stage4,0.9739
58.759,195.438,stage4,0.6184
359.033,201.103,stage4,0.7164
1707.890,207.427,vegetative,0.8608
1536.452,216.664,stage4,0.9815
926.739,218.613,stage4,0.8684
1394.988,280.734,vegetative,0.9275
963.109,284.986,stage4,0.8442
465.813,289.483,vegetative,0.9133
1798.191,301.748,stage4,0.9902
258.809,302.937,stage4,0.7087
1061.048,321.388,stage4,0.9655
1460.278,342.499,stage4,0.9781
703.485,375.924,stage4,0.6706
1422.268,381.142,stage4,0.9716
1813.660,458.511,stage4,0.9682
84.117,471.510,vegetative,0.9023
1717.240,509.939,stage4,0.9851
1663.838,544.408,stage4,0.9618
1035.007,548.537,stage4,0.9835
1414.814,551.461,stage4,0.9950
781.634,573.156,stage4,0.9810
2035.282,573.901,stage4,0.9747
2107.216,578.930,stage4,0.9815
114.702,588.053,stage4,0.7054
398.380,598.459,stage4,0.9710
771.424,606.844,stage4,0.9531
102.686,609.629,vegetative,0.5299
92.700,619.500,vegetative,0.5178
130.991,623.132,stage4,0.9843
1855.699,669.319,stage4,0.9897
1766.747,678.519,stage4,0.9669
1248.646,688.804,stage4,0.9884
1526.619,720.993,stage4,0.9930
1192.769,755.168,stage4,0.9874
1370.404,771.336,stage4,0.9868
853.845,808.675,stage4,0.8851
760.954,876.246,stage4,0.9891
1666.340,899.745,vegetative,0.9198
1172.103,941.430,stage4,0.9917
608.343,975.419,stage4,0.9222
1707.177,998.835,vegetative,0.9313
796.098,1009.463,stage4,0.9717
646.818,1012.091,vegetative,0.5226
2066.582,1074.254,stage4,0.9711
556.653,1080.967,stage4,0.9693
