x,y,name,confidence
894.104,38.221,vegetative,0.9942
1704.702,53.523,vegetative,0.9946
779.457,55.867,stage5,0.8404
765.739,62.416,stage4,0.8973
743.145,76.878,stage5,0.9673
2093.820,237.025,complete,0.9573
115.654,252.397,stage4,0.4782
125.445,254.945,vegetative,0.5738
149.692,263.370,stage4,0.7310
1739.124,271.483,vegetative,0.9906
520.177,330.194,vegetative,0.9831
900.355,548.509,vegetative,0.9922
1535.789,734.706,stage4,0.8788
1210.255,904.586,stage4,0.7638
1215.309,905.350,complete,0.6964
991.227,915.967,stage4,0.8825
994.684,925.895,complete,0.6221
1768.595,1076.856,stage4,0.9527
501.695,1084.397,stage4,0.9859
