x,y,name,confidence
766.833,0.833,stage4,0.3010
1287.842,1.632,vegetative,0.3338
1521.200,2.743,vegetative,0.5825
422.444,2.889,vegetative,0.4168
1634.636,3.424,stage4,0.3832
437.564,3.462,vegetative,0.3069
122.515,3.515,stage4,0.4583
145.042,3.833,vegetative,0.5465
1084.000,4.000,vegetative,0.6150
994.694,4.235,stage4,0.5694
756.735,4.588,vegetative,0.3918
9.821,4.744,vegetative,0.5812
405.870,5.534,stage4,0.7913
738.867,6.633,vegetative,0.5066
1854.401,6.904,vegetative,0.4136
1733.547,6.935,vegetative,0.7982
1103.786,8.000,vegetative,0.6126
1620.313,9.170,vegetative,0.5493
872.500,10.100,stage4,0.3969
1089.921,10.711,vegetative,0.5707
1936.755,11.143,vegetative,0.6398
808.274,11.342,stage5,0.9082
1713.906,11.874,vegetative,0.9425
874.154,12.385,complete,0.3714
443.582,13.101,stage4,0.4338
144.619,13.706,stage4,0.8081
1513.174,13.967,vegetative,0.6313
1476.507,15.429,stage4,0.5041
1786.969,15.533,vegetative,0.8905
1134.989,15.604,stage4,0.7156
1845.506,16.782,stage4,0.4487
819.653,17.607,stage4,0.5417
232.415,17.732,vegetative,0.5466
51.954,18.738,stage4,0.6298
894.256,19.432,stage4,0.6145
723.191,19.448,stage4,0.5652
1006.248,23.115,vegetative,0.6352
590.653,23.120,stage4,0.6473
1068.648,23.857,stage4,0.5947
1631.333,24.391,stage4,0.5365
620.895,24.869,vegetative,0.5041
1855.350,25.423,vegetative,0.6803
1503.007,26.399,vegetative,0.6481
715.583,28.194,vegetative,0.4110
660.516,28.829,stage4,0.7570
845.993,29.317,vegetative,0.7934
1656.221,30.225,vegetative,0.8438
1229.325,32.195,stage4,0.6904
1094.681,33.528,vegetative,0.7007
977.226,34.645,stage4,0.4497
895.806,35.491,vegetative,0.6651
1332.482,35.520,vegetative,0.7343
1540.000,42.576,vegetative,0.4449
1731.567,42.773,stage4,0.5604
1631.022,43.479,vegetative,0.8994
1255.138,43.543,vegetative,0.6571
140.875,45.128,vegetative,0.9062
588.222,45.556,stage4,0.3747
1517.635,46.135,vegetative,0.6011
2092.912,47.242,vegetative,0.8879
593.690,49.069,vegetative,0.5286
1120.027,50.523,stage4,0.5036
1545.867,50.667,stage4,0.4159
583.636,53.182,vegetative,0.4177
840.920,53.298,stage5,0.9128
958.135,54.542,stage4,0.7283
579.000,57.727,vegetative,0.4860
859.486,58.222,stage4,0.4808
1022.789,61.632,stage4,0.4720
999.908,63.950,stage4,0.5011
593.125,65.818,stage4,0.4910
287.073,65.917,stage4,0.4999
1066.093,66.426,stage4,0.5189
446.135,68.844,vegetative,0.8296
274.343,69.000,vegetative,0.5693
713.398,70.301,vegetative,0.5713
1702.202,71.135,vegetative,0.8938
1098.346,72.577,stage4,0.4434
1036.164,73.187,stage5,0.8357
1078.660,73.235,vegetative,0.8156
1614.817,73.489,stage4,0.5213
944.390,74.309,stage4,0.4273
1108.767,76.400,vegetative,0.4208
999.632,78.357,vegetative,0.5785
1006.325,78.711,stage4,0.4683
1260.809,82.058,stage4,0.5864
576.908,83.070,vegetative,0.8158
1615.377,83.630,vegetative,0.4917
635.938,84.125,vegetative,0.6216
1604.773,85.455,vegetative,0.4353
1102.731,87.357,stage4,0.5634
922.338,88.215,vegetative,0.6406
889.667,89.333,stage4,0.4468
1399.897,92.555,stage4,0.6522
1255.553,95.307,vegetative,0.5195
282.773,98.564,stage4,0.6090
611.191,99.060,vegetative,0.8691
1276.101,101.362,vegetative,0.8755
436.450,101.600,stage4,0.3938
740.205,102.438,vegetative,0.6569
1425.957,102.597,vegetative,0.7128
1180.938,104.312,stage4,0.4372
836.966,104.407,vegetative,0.9024
1178.968,105.024,vegetative,0.5175
574.566,107.344,stage5,0.9193
1606.786,110.414,stage4,0.4393
1933.079,113.386,stage4,0.6650
258.782,116.472,vegetative,0.6429
1850.479,116.721,stage5,0.9399
917.257,117.708,stage5,0.9217
734.896,117.726,stage4,0.4859
1164.889,118.192,stage4,0.7266
989.074,121.117,stage4,0.4942
441.183,122.483,stage4,0.5240
280.521,124.370,vegetative,0.4943
271.529,126.647,stage4,0.4400
1438.590,127.120,stage4,0.7316
1715.214,128.357,stage4,0.5155
1898.142,130.491,vegetative,0.8950
464.122,132.042,stage5,0.8719
1369.235,133.111,stage4,0.5340
1220.778,133.167,stage4,0.4558
270.000,133.667,vegetative,0.5609
27.143,134.095,vegetative,0.5664
2113.725,134.925,stage4,0.7746
1397.354,135.846,vegetative,0.3782
451.567,136.467,vegetative,0.5355
1326.597,138.917,stage4,0.5173
1350.717,139.179,complete,0.3710
1478.656,142.356,vegetative,0.6904
129.667,142.667,vegetative,0.5416
450.670,143.688,stage4,0.6075
732.837,144.032,vegetative,0.8531
462.600,145.400,vegetative,0.3808
1398.500,145.500,vegetative,0.3656
558.980,146.940,vegetative,0.6659
1539.133,147.600,vegetative,0.4581
1117.583,148.667,stage4,0.4240
1349.625,148.983,vegetative,0.5975
1711.035,149.028,vegetative,0.6207
722.357,150.571,vegetative,0.3594
289.857,150.725,vegetative,0.8696
1239.345,150.743,vegetative,0.8369
1376.769,151.154,stage4,0.4695
1512.522,153.196,stage4,0.4737
1124.467,153.543,vegetative,0.8506
464.462,153.846,stage4,0.4537
153.324,155.089,stage4,0.7364
