x,y,name,confidence
1058.500,1.500,stage5,0.4250
1047.231,1.538,stage5,0.3762
2093.071,2.143,vegetative,0.4042
1113.571,2.286,complete,0.3401
491.600,2.800,stage2,0.3124
818.833,3.000,complete,0.3667
286.405,3.024,vegetative,0.5604
1758.135,3.747,vegetative,0.6721
1065.250,3.917,vegetative,0.4380
535.500,3.931,vegetative,0.6119
1478.833,4.061,stage5,0.4637
1107.593,4.778,stage5,0.3985
813.778,5.333,vegetative,0.3268
1780.000,5.422,complete,0.5565
1801.833,5.633,complete,0.5926
2091.636,6.455,complete,0.3884
2108.667,6.667,stage5,0.3678
1249.235,8.556,stage5,0.4041
483.910,8.866,stage4,0.4414
1037.888,10.224,stage5,0.4217
792.263,12.895,vegetative,0.5925
1104.133,13.467,vegetative,0.5596
1056.595,17.135,vegetative,0.3854
1042.280,18.800,stage5,0.4305
604.025,19.169,vegetative,0.8196
117.008,20.148,vegetative,0.9078
57.118,20.176,vegetative,0.3410
1730.496,21.273,vegetative,0.9745
990.189,21.870,vegetative,0.7263
30.639,24.910,vegetative,0.8536
1692.213,25.840,vegetative,0.8044
1035.600,25.933,vegetative,0.4009
66.266,26.538,stage4,0.4622
1558.401,26.796,vegetative,0.7124
1089.928,26.957,vegetative,0.5984
941.011,32.156,vegetative,0.6129
394.729,33.128,vegetative,0.8132
1052.724,33.816,vegetative,0.8370
1289.365,34.858,vegetative,0.9589
1585.435,36.614,vegetative,0.8303
964.850,38.950,complete,0.4437
1997.802,39.642,complete,0.8020
1867.297,42.254,vegetative,0.8250
337.556,42.889,vegetative,0.5630
62.763,45.699,vegetative,0.6676
2042.455,50.761,vegetative,0.8764
833.071,53.143,stage4,0.3347
247.618,53.635,vegetative,0.7031
168.929,54.239,vegetative,0.8711
1973.482,54.576,vegetative,0.8995
484.522,59.422,vegetative,0.8158
821.873,59.564,vegetative,0.6587
1354.430,63.321,vegetative,0.8647
1888.968,65.484,vegetative,0.6090
1530.219,66.486,vegetative,0.9425
1178.864,68.531,vegetative,0.8734
846.126,70.239,vegetative,0.6730
1841.800,70.600,vegetative,0.4139
141.973,72.266,vegetative,0.8582
1988.794,74.256,vegetative,0.6098
1852.143,75.071,vegetative,0.4719
836.092,76.565,vegetative,0.8248
604.022,79.917,vegetative,0.8664
177.941,89.204,vegetative,0.8101
1741.338,94.192,vegetative,0.9077
141.654,100.282,vegetative,0.9305
1739.566,104.441,complete,0.7815
1967.104,104.646,vegetative,0.7307
1953.341,105.795,vegetative,0.6280
1170.094,108.328,stage5,0.3738
40.147,110.918,vegetative,0.9090
1927.742,115.516,vegetative,0.5931
841.333,117.267,vegetative,0.3835
1181.959,117.429,vegetative,0.4473
1935.263,118.132,vegetative,0.5818
675.723,119.175,vegetative,0.6956
1161.000,119.500,stage5,0.3438
1946.796,119.657,vegetative,0.6376
825.863,120.976,stage4,0.4923
570.138,121.433,vegetative,0.8958
855.663,124.787,complete,0.6581
1532.919,126.554,complete,0.8467
839.931,126.569,vegetative,0.3773
1192.568,129.973,complete,0.6139
1929.585,133.595,vegetative,0.9059
1329.485,135.500,vegetative,0.8496
1356.033,135.844,stage5,0.6447
973.604,136.462,complete,0.6963
667.267,136.860,vegetative,0.8027
2118.273,143.636,vegetative,0.5360
1367.140,143.774,vegetative,0.4852
83.956,147.994,vegetative,0.8983
1573.626,149.899,vegetative,0.9012
737.438,150.368,complete,0.5585
2109.200,152.544,vegetative,0.7398
1188.500,158.400,vegetative,0.4281
1317.182,159.273,vegetative,0.8588
1163.134,161.305,vegetative,0.5911
377.716,162.438,vegetative,0.7676
331.467,163.213,vegetative,0.7335
199.482,166.500,vegetative,0.8549
319.000,167.684,vegetative,0.5814
736.500,167.917,stage4,0.3114
370.904,170.618,vegetative,0.8692
1354.722,171.833,stage5,0.5860
369.448,172.445,vegetative,0.8273
1366.941,173.055,vegetative,0.8917
1016.561,173.173,vegetative,0.9596
313.643,173.357,vegetative,0.6159
1510.797,175.842,vegetative,0.8777
710.991,177.313,vegetative,0.8001
408.070,178.070,vegetative,0.6431
402.450,181.800,vegetative,0.5716
363.196,184.590,vegetative,0.7573
1280.368,185.191,complete,0.4725
303.957,187.574,vegetative,0.5368
286.140,190.414,vegetative,0.6929
334.222,192.333,vegetative,0.5371
869.656,192.392,vegetative,0.9188
330.560,199.080,vegetative,0.6038
1259.157,199.711,vegetative,0.8841
2124.778,199.778,vegetative,0.5150
176.160,209.851,vegetative,0.8784
2124.533,214.829,vegetative,0.9447
1147.709,214.859,vegetative,0.9599
629.519,216.481,vegetative,0.6038
627.879,217.860,vegetative,0.8175
754.500,222.125,stage4,0.3703
2072.538,222.846,vegetative,0.5413
661.612,223.000,vegetative,0.5959
773.675,223.886,complete,0.4577
1538.476,224.061,vegetative,0.7191
930.129,224.774,stage5,0.3240
945.353,225.412,stage4,0.3213
938.316,227.632,vegetative,0.4484
989.680,231.296,vegetative,0.8676
867.748,231.738,vegetative,0.7135
2101.793,232.707,vegetative,0.7811
1347.865,233.252,vegetative,0.6969
840.533,234.500,vegetative,0.5794
3.467,235.667,vegetative,0.3462
799.222,237.316,vegetative,0.6653
417.526,239.474,stage5,0.5360
14.406,243.688,stage4,0.3698
867.041,249.265,vegetative,0.7136
1368.950,249.525,stage4,0.3439
736.155,249.612,vegetative,0.7010
1710.467,251.997,vegetative,0.9009
1355.920,253.320,stage4,0.2623
1074.731,254.453,vegetative,0.9393
54.599,255.413,vegetative,0.8470
921.500,255.667,vegetative,0.5222
2003.617,255.707,vegetative,0.9391
914.227,256.682,vegetative,0.5229
33.091,258.909,complete,0.3938
1364.400,259.275,stage5,0.3137
1538.174,259.565,stage4,0.5237
153.749,259.611,vegetative,0.8264
845.142,260.000,vegetative,0.7711
739.567,261.725,vegetative,0.8039
949.983,262.015,vegetative,0.8103
858.000,272.211,vegetative,0.5740
1546.487,279.386,vegetative,0.9412
887.662,287.259,vegetative,0.8521
1107.532,299.468,stage4,0.4481
1134.203,304.725,vegetative,0.6530
1614.709,304.768,vegetative,0.8415
1262.794,305.215,vegetative,0.9112
1508.821,307.795,vegetative,0.4522
1416.003,309.315,vegetative,0.8231
879.176,310.588,vegetative,0.6399
678.152,310.970,vegetative,0.7175
1184.079,313.663,vegetative,0.9298
1572.407,315.575,vegetative,0.9235
1483.417,316.898,vegetative,0.8111
522.112,318.013,vegetative,0.8332
1513.875,319.625,complete,0.3690
157.319,321.585,vegetative,0.8148
455.938,327.750,vegetative,0.4985
1103.500,329.000,stage5,0.3568
2115.518,329.326,vegetative,0.8274
246.416,329.943,vegetative,0.8793
619.286,330.934,stage4,0.4313
1096.381,332.190,stage5,0.3216
846.411,333.268,vegetative,0.8035
2019.867,334.467,vegetative,0.5415
138.545,336.432,complete,0.5060
2010.316,338.263,vegetative,0.6613
2029.000,338.688,vegetative,0.5745
1314.199,339.609,vegetative,0.8600
147.694,341.722,complete,0.5385
736.300,349.863,vegetative,0.8779
1832.132,353.363,vegetative,0.8592
63.840,354.862,vegetative,0.6418
1044.501,356.655,vegetative,0.8247
333.174,365.070,vegetative,0.9045
472.176,366.706,vegetative,0.4736
452.923,367.462,stage4,0.3307
2018.500,368.000,vegetative,0.6425
1083.185,372.111,vegetative,0.5777
2034.007,377.493,vegetative,0.6323
1830.667,379.500,vegetative,0.5656
1871.634,380.626,complete,0.6792
1029.336,382.056,stage4,0.4818
28.368,383.912,vegetative,0.6736
162.545,387.273,stage4,0.3737
1827.538,389.000,vegetative,0.5376
1564.750,389.500,vegetative,0.5488
1860.214,391.429,vegetative,0.6612
173.237,391.882,stage4,0.5067
60.800,397.679,vegetative,0.7561
1208.892,399.824,complete,0.4497
1806.931,407.085,vegetative,0.9354
141.349,413.143,vegetative,0.8305
181.494,418.903,vegetative,0.7435
533.292,419.792,vegetative,0.5525
314.000,420.300,stage4,0.2334
283.818,425.636,complete,0.3938
